Age (x),qx,lx,px,dx,lx_next,Lx,Tx,ex,ax
84.0,0.617,0.002,0.383,0.001234,0.001,0.0015,0.002,1.0,1.5665086827995647
85.0,0.636,0.001,0.364,0.0006360000000000001,0.0,0.0005,0.0005,0.5,1.5235089902964796
86.0,0.656,0.0,0.344,0.0,0.0,0.0,0.0,,1.4813578571576205
87.0,0.676,0.0,0.32399999999999995,0.0,0.0,0.0,0.0,,1.4412749792800843
88.0,0.696,0.0,0.30400000000000005,0.0,0.0,0.0,0.0,,1.4028186069706383
89.0,0.717,0.0,0.28300000000000003,0.0,0.0,0.0,0.0,,1.3648130433544652
90.0,0.739,0.0,0.261,0.0,0.0,0.0,0.0,,1.3277647867671343
91.0,0.76,0.0,0.24,0.0,0.0,0.0,0.0,,1.293477894138499
92.0,0.782,0.0,0.21799999999999997,0.0,0.0,0.0,0.0,,1.2595092956777252
93.0,0.805,0.0,0.19499999999999995,0.0,0.0,0.0,0.0,,1.2261219015965918
94.0,0.828,0.0,0.17200000000000004,0.0,0.0,0.0,0.0,,1.1943874802281518
95.0,0.851,0.0,0.14900000000000002,0.0,0.0,0.0,0.0,,1.164064561831373
96.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,,1.134137575075934
97.0,0.899,0.0,0.10099999999999998,0.0,0.0,0.0,0.0,,1.1052936186256952
98.0,0.924,0.0,0.07599999999999996,0.0,0.0,0.0,0.0,,1.0737864077669903
99.0,0.949,0.0,0.051000000000000045,0.0,0.0,0.0,0.0,,1.0
100.0,0.974,0.0,0.026000000000000023,0.0,,,,,0.0
